RT,condition,id
3220.17,"Task pairs",1
1155.13,"Task pairs",2
2358.22,"Task pairs",3
3052.38,"Task pairs",4
1929.73,"Task pairs",5
2313.38,"Task pairs",6
1593.58,"Task pairs",7
2015.56,"Task pairs",8
2362.34,"Task pairs",9
1841.77,"Task pairs",10
2630.04,"Task pairs",11
2590.01,"Task pairs",12
2530.81,"Task pairs",13
2218.99,"Task pairs",14
1689.87,"Task pairs",15
1752.26,"Task pairs",16
2495.45,"Task pairs",17
2893.19,"Task pairs",18
2332.01,"Task pairs",19
1761.14,"Task pairs",20
2227.78,"Task pairs",21
3134.43,"Task pairs",22
2656.33,"Task pairs",23
2370.56,"Task pairs",24
975.644,"Control",1
765.222,"Control",2
975.159,"Control",3
830.822,"Control",4
684.044,"Control",5
1012.67,"Control",6
683.178,"Control",7
782.733,"Control",8
866.533,"Control",9
803.889,"Control",10
684.356,"Control",11
825.911,"Control",12
957.978,"Control",13
910.911,"Control",14
1474.12,"Control",15
745.578,"Control",16
1001.82,"Control",17
750.844,"Control",18
938.489,"Control",19
901.911,"Control",20
803.489,"Control",21
834.156,"Control",22
787.156,"Control",23
947.933,"Control",24
1259.22,"NRNE",1
861.111,"NRNE",2
1415.18,"NRNE",3
1843.87,"NRNE",4
1007.27,"NRNE",5
1621.07,"NRNE",6
848.444,"NRNE",7
960.8,"NRNE",8
1131.13,"NRNE",9
937.733,"NRNE",10
1227.2,"NRNE",11
1178.4,"NRNE",12
983.089,"NRNE",13
1524.42,"NRNE",14
779.756,"NRNE",15
718.667,"NRNE",16
1679.51,"NRNE",17
1229.02,"NRNE",18
1700.47,"NRNE",19
1521,"NRNE",20
1232.29,"NRNE",21
2173.44,"NRNE",22
1397.11,"NRNE",23
1243,"NRNE",24
1439.78,"NRME",1
901.311,"NRME",2
2102.81,"NRME",3
2062.05,"NRME",4
986.311,"NRME",5
2157.62,"NRME",6
1025.67,"NRME",7
1100.8,"NRME",8
1352.67,"NRME",9
985,"NRME",10
1878.73,"NRME",11
1452.18,"NRME",12
1275.47,"NRME",13
1495.87,"NRME",14
912.756,"NRME",15
828.422,"NRME",16
1491.51,"NRME",17
1416.84,"NRME",18
1874,"NRME",19
1971.1,"NRME",20
1399.96,"NRME",21
2717.36,"NRME",22
1494.8,"NRME",23
1221.47,"NRME",24
