diff_effort,diff_prob,id,H,diff_SV,H_dichotomized,inconsistency
15,20,1,.9911,.46,"High","High (>0.90)"
5,10,1,.9544,.02,"High","High (>0.90)"
5,10,3,.9544,.35,"High","High (>0.90)"
5,10,3,.9544,.35,"High","High (>0.90)"
5,10,3,.9911,.27,"High","High (>0.90)"
10,10,4,.9911,1.35,"High","High (>0.90)"
15,10,5,.9911,.13,"High","High (>0.90)"
15,10,5,.9544,.08,"High","High (>0.90)"
20,10,5,.9183,.24,"High","High (>0.90)"
20,20,7,.9911,.34,"High","High (>0.90)"
5,10,7,.9911,.68,"High","High (>0.90)"
20,10,8,.9911,.44,"High","High (>0.90)"
10,10,9,.9183,.62,"High","High (>0.90)"
15,20,9,.9544,.1,"High","High (>0.90)"
10,10,10,.9183,.08,"High","High (>0.90)"
5,10,10,.9911,.29,"High","High (>0.90)"
10,10,10,.9183,.53,"High","High (>0.90)"
15,20,10,.9911,.12,"High","High (>0.90)"
5,20,11,.9911,.01,"High","High (>0.90)"
5,10,12,.9544,.71,"High","High (>0.90)"
10,20,12,.9544,.66,"High","High (>0.90)"
10,10,12,.9911,2.11,"High","High (>0.90)"
15,20,13,.9911,.16,"High","High (>0.90)"
15,20,13,.9911,.03,"High","High (>0.90)"
5,10,14,.9183,.38,"High","High (>0.90)"
5,10,15,.9911,.05,"High","High (>0.90)"
10,20,15,.9911,.01,"High","High (>0.90)"
10,10,15,.9183,.35,"High","High (>0.90)"
10,10,15,.9183,.41,"High","High (>0.90)"
5,10,16,.9183,.36,"High","High (>0.90)"
10,20,16,.9183,.3,"High","High (>0.90)"
5,10,16,.9183,.26,"High","High (>0.90)"
20,10,17,.9544,3.51,"High","High (>0.90)"
5,10,17,.9911,.05,"High","High (>0.90)"
15,30,17,.9911,.5,"High","High (>0.90)"
10,10,17,.9183,.98,"High","High (>0.90)"
10,10,18,.9911,.01,"High","High (>0.90)"
15,10,18,.9183,.83,"High","High (>0.90)"
5,10,19,.9911,.58,"High","High (>0.90)"
10,20,20,.9183,1.88,"High","High (>0.90)"
5,10,21,.9911,.16,"High","High (>0.90)"
10,30,21,1,.2,"High","High (>0.90)"
10,20,21,.9183,.56,"High","High (>0.90)"
20,10,22,.9852,1.36,"High","High (>0.90)"
15,30,22,.9544,1.29,"High","High (>0.90)"
10,10,23,.9911,.2,"High","High (>0.90)"
20,10,24,.9911,.06,"High","High (>0.90)"
10,10,24,.9183,.1,"High","High (>0.90)"
10,10,24,.9911,.16,"High","High (>0.90)"
5,10,2,0,.27,"Low","Null"
5,10,2,0,.33,"Low","Null"
5,10,2,0,.33,"Low","Null"
5,10,2,0,.56,"Low","Null"
5,10,2,0,.58,"Low","Null"
5,10,3,0,.06,"Low","Null"
5,10,3,0,.18,"Low","Null"
5,10,3,0,.24,"Low","Null"
5,10,4,0,.49,"Low","Null"
5,10,4,0,.93,"Low","Null"
5,10,5,0,1.06,"Low","Null"
5,10,5,0,1.52,"Low","Null"
5,10,6,0,.26,"Low","Null"
5,10,6,0,.67,"Low","Null"
5,10,8,0,.7,"Low","Null"
5,10,8,0,.79,"Low","Null"
5,10,8,0,.8,"Low","Null"
5,10,8,0,.97,"Low","Null"
5,10,9,0,.3,"Low","Null"
5,10,9,0,.44,"Low","Null"
5,10,9,0,.48,"Low","Null"
5,10,11,0,.04,"Low","Null"
5,10,14,0,.01,"Low","Null"
5,10,14,0,.02,"Low","Null"
5,10,14,0,.07,"Low","Null"
5,10,15,0,.14,"Low","Null"
5,10,16,0,.15,"Low","Null"
5,10,16,0,.18,"Low","Null"
5,10,18,0,.31,"Low","Null"
5,10,18,0,.54,"Low","Null"
5,10,19,0,.27,"Low","Null"
5,10,19,0,.42,"Low","Null"
5,10,20,0,.29,"Low","Null"
5,10,20,0,.34,"Low","Null"
5,10,22,0,.3,"Low","Null"
5,10,23,0,.42,"Low","Null"
5,10,24,0,.55,"Low","Null"
5,20,1,0,.19,"Low","Null"
5,20,1,0,.34,"Low","Null"
5,20,2,0,1.63,"Low","Null"
5,20,2,0,1.73,"Low","Null"
5,20,2,0,2.06,"Low","Null"
5,20,3,0,.29,"Low","Null"
5,20,4,0,.18,"Low","Null"
5,20,4,0,.3,"Low","Null"
5,20,4,0,.32,"Low","Null"
5,20,5,0,3.85,"Low","Null"
5,20,6,0,.14,"Low","Null"
5,20,6,0,.41,"Low","Null"
5,20,7,0,.8,"Low","Null"
5,20,7,0,1.73,"Low","Null"
5,20,7,0,1.73,"Low","Null"
5,20,9,0,1.27,"Low","Null"
5,20,9,0,1.81,"Low","Null"
5,20,11,0,.01,"Low","Null"
5,20,12,0,.47,"Low","Null"
5,20,13,0,.74,"Low","Null"
5,20,13,0,1.07,"Low","Null"
5,20,13,0,1.07,"Low","Null"
5,20,14,0,.17,"Low","Null"
5,20,14,0,.2,"Low","Null"
5,20,14,0,.23,"Low","Null"
5,20,14,0,.26,"Low","Null"
5,20,14,0,.3,"Low","Null"
5,20,15,0,.25,"Low","Null"
5,20,15,0,.49,"Low","Null"
5,20,16,0,.48,"Low","Null"
5,20,16,0,.51,"Low","Null"
5,20,16,0,.66,"Low","Null"
5,20,16,0,.76,"Low","Null"
5,20,17,0,.66,"Low","Null"
5,20,17,0,.71,"Low","Null"
5,20,17,0,.78,"Low","Null"
5,20,17,0,.8,"Low","Null"
5,20,17,0,.87,"Low","Null"
5,20,19,0,.6,"Low","Null"
5,20,20,0,.03,"Low","Null"
5,20,20,0,.03,"Low","Null"
5,20,20,0,.06,"Low","Null"
5,20,21,0,.73,"Low","Null"
5,20,21,0,.89,"Low","Null"
5,20,22,0,1.39,"Low","Null"
5,20,22,0,1.58,"Low","Null"
5,20,22,0,1.59,"Low","Null"
5,20,22,0,1.93,"Low","Null"
5,20,23,0,1.22,"Low","Null"
5,30,4,0,.04,"Low","Null"
5,30,7,0,1.51,"Low","Null"
5,30,7,0,2.21,"Low","Null"
5,30,9,0,1.97,"Low","Null"
5,30,11,0,.3,"Low","Null"
5,30,12,0,0,"Low","Null"
5,30,13,0,1.78,"Low","Null"
5,30,14,0,.67,"Low","Null"
5,30,20,0,.98,"Low","Null"
5,30,21,0,1.69,"Low","Null"
5,30,22,0,2.64,"Low","Null"
10,10,1,0,.28,"Low","Null"
10,10,2,0,.27,"Low","Null"
10,10,2,0,.84,"Low","Null"
10,10,3,0,1.2,"Low","Null"
10,10,5,0,.4,"Low","Null"
10,10,5,0,.57,"Low","Null"
10,10,6,0,2.3,"Low","Null"
10,10,8,0,.6,"Low","Null"
10,10,8,0,.69,"Low","Null"
10,10,8,0,.69,"Low","Null"
10,10,8,0,.91,"Low","Null"
10,10,10,0,.14,"Low","Null"
10,10,10,0,.18,"Low","Null"
10,10,10,0,.29,"Low","Null"
10,10,11,0,.17,"Low","Null"
10,10,12,0,.78,"Low","Null"
10,10,12,0,.88,"Low","Null"
10,10,16,0,1.3,"Low","Null"
10,10,16,0,1.47,"Low","Null"
10,10,18,0,.08,"Low","Null"
10,10,18,0,.25,"Low","Null"
10,10,19,0,.84,"Low","Null"
10,10,19,0,2.21,"Low","Null"
10,10,20,0,1.04,"Low","Null"
10,10,22,0,.11,"Low","Null"
10,10,24,0,.23,"Low","Null"
10,20,1,0,.07,"Low","Null"
10,20,2,0,.58,"Low","Null"
10,20,2,0,.73,"Low","Null"
10,20,2,0,.82,"Low","Null"
10,20,2,0,1.05,"Low","Null"
10,20,5,0,2.33,"Low","Null"
10,20,6,0,.65,"Low","Null"
10,20,6,0,.88,"Low","Null"
10,20,6,0,1,"Low","Null"
10,20,6,0,1.06,"Low","Null"
10,20,6,0,1.19,"Low","Null"
10,20,7,0,.58,"Low","Null"
10,20,9,0,.51,"Low","Null"
10,20,9,0,.53,"Low","Null"
10,20,11,0,.34,"Low","Null"
10,20,11,0,.57,"Low","Null"
10,20,12,0,1.43,"Low","Null"
10,20,13,0,.4,"Low","Null"
10,20,17,0,.72,"Low","Null"
10,20,18,0,1.04,"Low","Null"
10,20,19,0,.42,"Low","Null"
10,20,22,0,.75,"Low","Null"
10,20,23,0,.76,"Low","Null"
10,30,1,0,.2,"Low","Null"
10,30,4,0,.67,"Low","Null"
10,30,6,0,.24,"Low","Null"
10,30,7,0,1.5,"Low","Null"
10,30,7,0,1.79,"Low","Null"
10,30,9,0,2.08,"Low","Null"
10,30,11,0,.1,"Low","Null"
10,30,12,0,.81,"Low","Null"
10,30,12,0,1.01,"Low","Null"
10,30,13,0,1.37,"Low","Null"
10,30,15,0,.36,"Low","Null"
10,30,16,0,.27,"Low","Null"
10,30,19,0,.08,"Low","Null"
10,30,19,0,.18,"Low","Null"
10,30,20,0,.5,"Low","Null"
10,30,22,0,1.65,"Low","Null"
10,30,23,0,1.46,"Low","Null"
10,30,23,0,1.9,"Low","Null"
10,40,1,0,.35,"Low","Null"
10,40,4,0,.67,"Low","Null"
10,40,11,0,.04,"Low","Null"
10,40,14,0,.63,"Low","Null"
10,40,15,0,.98,"Low","Null"
10,40,17,0,1.41,"Low","Null"
10,40,21,0,1.28,"Low","Null"
10,40,22,0,3.11,"Low","Null"
10,40,24,0,1.72,"Low","Null"
15,10,5,0,.08,"Low","Null"
15,10,5,0,.18,"Low","Null"
15,10,10,0,.8,"Low","Null"
15,10,10,0,1.36,"Low","Null"
15,20,5,0,2.08,"Low","Null"
15,20,6,0,1.44,"Low","Null"
15,20,8,0,1.6,"Low","Null"
15,20,9,0,.11,"Low","Null"
15,20,15,0,.36,"Low","Null"
15,20,18,0,.18,"Low","Null"
15,20,18,0,.23,"Low","Null"
15,20,19,0,.98,"Low","Null"
15,20,23,0,.64,"Low","Null"
15,20,24,0,.76,"Low","Null"
15,30,3,0,.37,"Low","Null"
15,30,6,0,1.41,"Low","Null"
15,30,11,0,.36,"Low","Null"
15,30,18,0,1.16,"Low","Null"
15,30,18,0,1.44,"Low","Null"
15,30,19,0,.82,"Low","Null"
15,30,19,0,1.02,"Low","Null"
15,30,20,0,1.64,"Low","Null"
15,30,23,0,1.28,"Low","Null"
15,30,23,0,1.64,"Low","Null"
15,30,24,0,1.13,"Low","Null"
15,40,19,0,.12,"Low","Null"
15,40,23,0,2.2,"Low","Null"
20,20,18,0,.14,"Low","Null"
